Serial,Reference,Manufacturer,Part,Description,Quantity
1,R24,Yageo,AC0603FR-0768RL,Resistor 68Ohm 100mW 1% 0603,1
2,R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R25 R27,Yageo,RC0603FR-10150RL,Resistor 150Ohm 100mW 1% 0603,12
3,R26,Yageo,RC0603FR-07200RL,Resistor 200Ohm 100mW 1% 0603,1
4,R11 R12,Yageo,RT0603DRE07430RL,Resistor 430Ohm 100mW 0.5% 0603,2
5,R2 R3 R7 R13,Yageo,RT0603FRE1310KL,Resistor 10kOhm 100mW 1% 0603,4
6,R1,Yageo,RC0603FR-1320KL,Resistor 20kOhm 100mW 1% 0603,1
7,R6 R10,Yageo,RT0603BRD0750KL,Resistor 50kOhm 100mW 0.1% 0603,2
8,R4 R8,Yageo,RC0603FR-07100KL,Resistor 100kOhm 100mW 1% 0603,2
9,R5,Yageo,AC0603FR-07365KL,Resistor 365kOhm 100mW 1% 0603,1
10,R9,Yageo,RC0603FR-07453KL,Resistor 453kOhm 100mW 1% 0603,1
11,C9 C17,Murata,GRM1885C1H5R0WA01D,Capacitor 5pF 50V 1% 0603,2
12,C24 C25,Murata,GRM1885C1H300GA01D,Capacitor 30pF 50V 2% 0603,2
13,C4 C6 C12 C14 C19 C20 C23,Murata,GCM188R71C104JA37D,Capacitor 0.1uF 16V 5% 0603,7
14,C5 C13,Murata,GRM188R61A474JA61D,Capacitor 0.47uF 10V 5% 0603,2
15,C1 C2 C3 C10 C11 C18 C21 C22,Murata,GRT188R61C106KE13J,Capacitor 10uF 16V 10% 0603,8
16,C7 C8 C15 C16,Murata,GRM188R61A226ME15D,Capacitor 22uF 10V 20% 0603,4
17,L1 L2,Eaton,DR127-3R3-R,Inductor 3.3uH 10.5A (rms) 21.5A (sat) 20%,2
18,F1,Bourns,MF-MSMF260-2,Fuse PTC 2.6A (hold) 5.2A (trip) 6V 1812,1
19,D1 D2 D3,Diotec,SK84-AQ,Diode Schottky 0.55V @ 8A DO-214AB/SMC,3
20,D4 D5,Ams Osram,LW Q38G-Q1OO-3K6L-1,LED White 2.85V @ 5mA 0603,2
21,D11 D12 D13 D14,Wuerth,150060AS75000,LED Amber 2V @ 20mA 0603,4
22,D6 D7 D8 D9 D10,Wuerth,150141RV73100,LED Red Green 2V @ 20mA,5
23,Y1,ECS,ECS-160-20-5PX-TR,Crystal 16Mhz 20pF HC49-US,1
24,J2,Adam Tech,PH2-06-UA,Pin Header 2x3,1
25,J1,CUI,TB003-500-P02BE,Screw Terminal 2-Pin,1
26,J3,Wuerth,629105136821,Micro USB Receptacle,1
27,J4,Adafruit,2223,Stacking Header 2x20,1
28,J5,Wuerth,61300421121,Pin Header 2x2,1
29,SW1,Salecom,T80-S-TS-13P-A1-2-R-E-H,Switch SPDT,1
30,U1 U2,TI,TPS56528DDAR,Buck converter,2
31,U3,FTDI,FT232RNL-REEL,USB-UART Bridge,1
32,U4,Microchip,ATmega328P-AU,8-Bit AVR Microcontroller,1
